genes	protein	compartment	reactions	uniprot
SLC3A2	protein_SLC3A2	pm	2ABUTtec;ADMARGARGtex;ADMARGCITRtex;ADMARGHIStex;ADMARGLYStex;ADMARGORNtex;ALAADMARGNaEx;ALAARGNaEx;ALAASNex;ALACITRNaEx;ALACYSex;ALAGLNex;ALAGLYex;ALAILEex;ALALEUex;ALALYSNaEx;ALAMETex;ALAMMARGNaEx;ALAORNNaEx;ALAPHEex;ALAPROex;ALASERex;ALATHRex;ALATRPex;ALATYRex;ALAVALex;ALAtec;ARGCITRtex;ARGHIStex;ARGLYStex;ARGORNtex;ASNADMARGNaEx;ASNARGNaEx;ASNCITRNaEx;ASNCYSex;ASNGLNex;ASNGLYex;ASNILEex;ASNLEUex;ASNLYSNaEx;ASNMETex;ASNMMARGNaEx;ASNORNNaEx;ASNPHEex;ASNPROex;ASNSERex;ASNTHRex;ASNTRPex;ASNTYRex;ASNVALex;ASNtec;CYSADMARGNaEx;CYSARGNaEx;CYSCITRNaEx;CYSGLNex;CYSGLYex;CYSILEex;CYSIt;CYSLYSNaEx;CYSMETex;CYSMMARGNaEx;CYSORNNaEx;CYSPHEex;CYSPROex;CYSSERex;CYSTHRex;CYSTRPex;CYSTYRex;CYSVALex;CYStec;DIIODTHYt2;GLNADMARGNaEx;GLNARGNaEx;GLNCITRNaEx;GLNGLYex;GLNILEex;GLNLEUex;GLNLYSNaEx;GLNMETex;GLNMMARGNaEx;GLNORNNaEx;GLNPHEex;GLNPROex;GLNSERex;GLNTHRex;GLNTRPex;GLNTYRex;GLNVALex;GLNtec;GLYADMARGNaEx;GLYALANaEx;GLYARGNaEx;GLYCITRNaEx;GLYILEex;GLYLEUex;GLYLYSNaEx;GLYMETex;GLYMMARGNaEx;GLYORNNaEx;GLYPHEex;GLYPROex;GLYSERex;GLYTHRex;GLYTRPex;GLYTYRex;GLYVALex;GLYtec;HCYSADMARGNaEx;HCYSARGNaEx;HCYSCITRNaEx;HCYSLYSNaEx;HCYSMMARGNaEx;HCYSORNNaEx;HCYSte;HISADMARGNaEx;HISARGNaEx;HISCITRNaEx;HISCITRtex;HISLYSNaEx;HISLYStex;HISMMARGNaEx;HISORNNaEx;HISORNtex;HIStec;HSERALAex;HSERASNex;HSERCYSex;HSERGLNex;HSERGLYex;HSERILEex;HSERLEUex;HSERMETex;HSERPHEex;HSERPROex;HSERSERex;HSERTHRex;HSERTRPex;HSERTYRex;HSERVALex;ILEADMARGNaEx;ILEARGNaEx;ILECITRNaEx;ILELEUex;ILELYSNaEx;ILEMETex;ILEMMARGNaEx;ILEORNNaEx;ILEPHEex;ILEPROex;ILESERex;ILETHRex;ILETRPex;ILETYRex;ILEVALex;ILEtec;LEUADMARGNaEx;LEUALANaEx;LEUARGNaEx;LEUCITRNaEx;LEULDOPAex;LEULYSNaEx;LEUMETex;LEUMMARGNaEx;LEUORNNaEx;LEUPHEex;LEUPROex;LEUSERex;LEUTHRex;LEUTRPex;LEUTYRex;LEUVALex;LEUtec;LHCYSTINt;LKYNRtr;LYSCITRtex;LYSORNtex;METADMARGNaEx;METARGNaEx;METCITRNaEx;METLYSNaEx;METMMARGNaEx;METORNNaEx;METPHEex;METPROex;METSERex;METTHRex;METTRPex;METTYRex;METVALex;METtec;MMARGARGtex;MMARGCITRtex;MMARGHIStex;MMARGLYStex;MMARGORNtex;PHEADMARGNaEx;PHEALANaEx;PHEARGNaEx;PHECITRNaEx;PHELYSNaEx;PHEMMARGNaEx;PHEORNNaEx;PHEPROex;PHESERex;PHETHRex;PHETRPex;PHETYRex;PHEVALex;PHEtec;PROADMARGNaEx;PROARGNaEx;PROCITRNaEx;PROLYSNaEx;PROMMARGNaEx;PROORNNaEx;PROSERex;PROTHRex;PROTRPex;PROTYRex;PROVALex;PROtec;SERADMARGNaEx;SERARGNaEx;SERCITRNaEx;SERLYSNaEx;SERMMARGNaEx;SERORNNaEx;SERTHRex;SERTRPex;SERTYRex;SERVALex;SERtec;TETIODTHYt2;THRADMARGNaEx;THRARGNaEx;THRCITRNaEx;THRLYSNaEx;THRMMARGNaEx;THRORNNaEx;THRTRPex;THRTYRex;THRVALex;THRtec;TRIIODTHYt2;TRPADMARGNaEx;TRPARGNaEx;TRPCITRNaEx;TRPHLKYNR;TRPLYSNaEx;TRPMMARGNaEx;TRPORNNaEx;TRPTYRex;TRPVALex;TRPtec;TYRADMARGNaEx;TYRARGNaEx;TYRCITRNaEx;TYRLYSNaEx;TYRMMARGNaEx;TYRORNNaEx;TYRVALex;TYRtec;VALADMARGNaEx;VALALANaEx;VALARGNaEx;VALCITRNaEx;VALLYSNaEx;VALMMARGNaEx;VALORNNaEx;VALtec	P08195
SLC40A1	protein_SLC40A1	pm	COBALT2te;FE2t;FEROXe	Q9NP59
SLC41A1	protein_SLC41A1	pm	MG2NAtex2	Q8IVJ1
SLC43A1	protein_SLC43A1	pm	2ABUTtec;ALAtec;ASNtec;CYSIt;CYStec;DLEUtec;GLNtec;GLYtec;HCYSte;HIStec;ILEtec;LEUtec;LHCYSTINt;LKYNRtr;METtec;PHEtec;PROtec;SERtec;THRtec;TRPtec;TYRtec;VALtec	O75387
SLC43A2	protein_SLC43A2	pm	2ABUTtec;ALAtec;ASNtec;CYSIt;CYStec;GLNtec;GLYtec;HCYSte;HIStec;ILEtec;LEUtec;LHCYSTINt;LKYNRtr;METtec;PHEtec;PROtec;SERtec;THRtec;TRPtec;TYRtec;VALtec	Q8N370
SLC43A3	protein_SLC43A3	pm	ADEt;AICt;GUAt;HYXNt;THYMt;URAt	Q8NBI5
SLC44A1	protein_SLC44A1	pm	CHOLtec;ETHAt	Q8WWI5
SLC44A2	protein_SLC44A2	pm	CHOLtec;ETHAt	Q8IWA5
SLC4A1	protein_SLC4A1	pm	ARSNA_Cltex;CYS_Cltex;Cl_OH1tex;Cl_PItex;FOR_Cltex;GLXCLtex;GLYCTCLtex;GLY_Cltex;HCO3_Cltex;HMOBD_Cltex;LLAC_Cltex;NACCYS_Cltex;NO2_Cltex;NO3_Cltex;O2S_Cltex;ONOO_Cltex;PYR_Cltex;SELNI_Cltex;SER_Cltex;SH1_Cltex	P02730
SLC4A2	protein_SLC4A2	pm	HCO3_Cltex	P04920
SLC52A1	protein_SLC52A1	pm	RIBFLVt	Q9NWF4
SLC6A8	protein_SLC6A8	pm	CREAT2NaClt	P48029
SLC6A9	protein_SLC6A9	pm	GLY_Cl_2Nat;PRO_Cl_2Nat;SARCS_Cl_2Nat	P48067
SLC7A1	protein_SLC7A1	pm	ADMARGARGtex;ADMARGCITRtex;ADMARGHIStex;ADMARGLYStex;ADMARGORNtex;ADMARGt_L;ARGCITRtex;ARGHIStex;ARGLYStex;ARGORNtex;ARGtec;HISCITRtex;HISLYStex;HISORNtex;LYSCITRtex;LYSORNtex;LYStec;MMARGARGtex;MMARGCITRtex;MMARGHIStex;MMARGLYStex;MMARGORNtex;MMARGt_L;ORNtec	P30825
SLC7A5	protein_SLC7A5	pm	2ABUTtec;ALAASNex;ALACYSex;ALAGLNex;ALAGLYex;ALAILEex;ALALEUex;ALAMETex;ALAPHEex;ALAPROex;ALASERex;ALATHRex;ALATRPex;ALATYRex;ALAVALex;ALAtec;ASNCYSex;ASNGLNex;ASNGLYex;ASNILEex;ASNLEUex;ASNMETex;ASNPHEex;ASNPROex;ASNSERex;ASNTHRex;ASNTRPex;ASNTYRex;ASNVALex;ASNtec;CYSGLNex;CYSGLYex;CYSILEex;CYSIt;CYSMETex;CYSPHEex;CYSPROex;CYSSERex;CYSTHRex;CYSTRPex;CYSTYRex;CYSVALex;CYStec;DIIODTHYt2;GLNGLYex;GLNILEex;GLNLEUex;GLNMETex;GLNPHEex;GLNPROex;GLNSERex;GLNTHRex;GLNTRPex;GLNTYRex;GLNVALex;GLNtec;GLYILEex;GLYLEUex;GLYMETex;GLYPHEex;GLYPROex;GLYSERex;GLYTHRex;GLYTRPex;GLYTYRex;GLYVALex;GLYtec;HCYSte;HIStec;HSERALAex;HSERASNex;HSERCYSex;HSERGLNex;HSERGLYex;HSERILEex;HSERLEUex;HSERMETex;HSERPHEex;HSERPROex;HSERSERex;HSERTHRex;HSERTRPex;HSERTYRex;HSERVALex;ILELEUex;ILEMETex;ILEPHEex;ILEPROex;ILESERex;ILETHRex;ILETRPex;ILETYRex;ILEVALex;ILEtec;LEULDOPAex;LEUMETex;LEUPHEex;LEUPROex;LEUSERex;LEUTHRex;LEUTRPex;LEUTYRex;LEUVALex;LEUtec;LHCYSTINt;LKYNRtr;METPHEex;METPROex;METSERex;METTHRex;METTRPex;METTYRex;METVALex;METtec;PHEPROex;PHESERex;PHETHRex;PHETRPex;PHETYRex;PHEVALex;PHEtec;PROSERex;PROTHRex;PROTRPex;PROTYRex;PROVALex;PROtec;SERTHRex;SERTRPex;SERTYRex;SERVALex;SERtec;TETIODTHYt2;THRTRPex;THRTYRex;THRVALex;THRtec;TRIIODTHYt2;TRPHLKYNR;TRPTYRex;TRPVALex;TRPtec;TYRVALex;TYRtec;VALtec	Q01650
SLC7A6	protein_SLC7A6	pm	ADMARGARGtex;ADMARGCITRtex;ADMARGHIStex;ADMARGLYStex;ADMARGORNtex;ALAADMARGNaEx;ALAARGNaEx;ALACITRNaEx;ALALYSNaEx;ALAMMARGNaEx;ALAORNNaEx;ARGCITRtex;ARGHIStex;ARGLYStex;ARGORNtex;ASNADMARGNaEx;ASNARGNaEx;ASNCITRNaEx;ASNLYSNaEx;ASNMMARGNaEx;ASNORNNaEx;CYSADMARGNaEx;CYSARGNaEx;CYSCITRNaEx;CYSLYSNaEx;CYSMMARGNaEx;CYSORNNaEx;GLNADMARGNaEx;GLNARGNaEx;GLNCITRNaEx;GLNLYSNaEx;GLNMMARGNaEx;GLNORNNaEx;GLYADMARGNaEx;GLYALANaEx;GLYARGNaEx;GLYCITRNaEx;GLYLYSNaEx;GLYMMARGNaEx;GLYORNNaEx;HCYSADMARGNaEx;HCYSARGNaEx;HCYSCITRNaEx;HCYSLYSNaEx;HCYSMMARGNaEx;HCYSORNNaEx;HISADMARGNaEx;HISARGNaEx;HISCITRNaEx;HISCITRtex;HISLYSNaEx;HISLYStex;HISMMARGNaEx;HISORNNaEx;HISORNtex;ILEADMARGNaEx;ILEARGNaEx;ILECITRNaEx;ILELYSNaEx;ILEMMARGNaEx;ILEORNNaEx;LEUADMARGNaEx;LEUALANaEx;LEUARGNaEx;LEUCITRNaEx;LEULYSNaEx;LEUMMARGNaEx;LEUORNNaEx;LYSCITRtex;LYSORNtex;METADMARGNaEx;METARGNaEx;METCITRNaEx;METLYSNaEx;METMMARGNaEx;METORNNaEx;MMARGARGtex;MMARGCITRtex;MMARGHIStex;MMARGLYStex;MMARGORNtex;PHEADMARGNaEx;PHEALANaEx;PHEARGNaEx;PHECITRNaEx;PHELYSNaEx;PHEMMARGNaEx;PHEORNNaEx;PROADMARGNaEx;PROARGNaEx;PROCITRNaEx;PROLYSNaEx;PROMMARGNaEx;PROORNNaEx;SERADMARGNaEx;SERARGNaEx;SERCITRNaEx;SERLYSNaEx;SERMMARGNaEx;SERORNNaEx;THRADMARGNaEx;THRARGNaEx;THRCITRNaEx;THRLYSNaEx;THRMMARGNaEx;THRORNNaEx;TRPADMARGNaEx;TRPARGNaEx;TRPCITRNaEx;TRPLYSNaEx;TRPMMARGNaEx;TRPORNNaEx;TYRADMARGNaEx;TYRARGNaEx;TYRCITRNaEx;TYRLYSNaEx;TYRMMARGNaEx;TYRORNNaEx;VALADMARGNaEx;VALALANaEx;VALARGNaEx;VALCITRNaEx;VALLYSNaEx;VALMMARGNaEx;VALORNNaEx	Q92536
SLC9A1	protein_SLC9A1	pm	NaLitex	P19634
SLC9A6	protein_SLC9A6	pm	KHtex;NaHtex	Q92581
SLC9A7	protein_SLC9A7	pm	KHtex;NaHtex	Q96T83
SLC9B2	protein_SLC9B2	pm	NaHtex;NaLitex	Q86UD5
SLCO1A2	protein_SLCO1A2	pm	E217BGLCRte;CHOLATEt;DGCHOLte;DHEASte;ESTRONESte;GCHOLAte;GDCHOLAte;GUDCHOLAte;PGE2te;TCHOLAte;TDCHOLAte;TDECHOLAte;TETIODTHYt2;TRIIODTHYt2;TUDCHOLAte	P46721
SLCO2B1	protein_SLCO2B1	pm	CHOLATEt;CPPP3te;DHEASte;ESTRONESte;PGD2te;PGE2te;PRGNStec;TCHOLAte;TETIODTHYt2	O94956
SLK	protein_SLK	c	PROTSK;PROTTK	Q9H2G2
SMOX	protein_SMOX	c	N1ASPMDOX;N1SPRMOX;SMOX;SPMDOX	Q9NWM0
SMPD1	protein_SMPD1	c	SMPD	P17405
SMPD3	protein_SMPD3	c	SMPD	Q9NY59
SMPDL3B	protein_SMPDL3B	c	CDPCHOLPP	Q92485
SMS	protein_SMS	c	SPRMS	P52788
SOD1	protein_SOD1	c	SPODM;SPODM2	P00441
SORD	protein_SORD	c	ERTHSD_Dy;RBTDG2_Dx;SBTD_D2;THRTLD_Lx;XYLTD_Dx	Q00796
SPHK1	protein_SPHK1	c	SPHGANK;SPHGNSK	Q9NYA1
SPTLC1	protein_SPTLC1	c	SERPT	O15269
SPTLC2	protein_SPTLC2	c	SERPT	O15270
SRM	protein_SRM	c	SPMS	P19623
SRXN1	protein_SRXN1	c	SRDX1GRDX2CDG;SRDX1GTHDG;SRDX1GTHRD	Q9BYN0
ST3GAL1	protein_ST3GAL1	c	CMPACNAGA1;CMPACNAGALBSD;CMPACNAGD1B;CMPACNAGM1	Q11201
ST3GAL2	protein_ST3GAL2	c	CMPACNAGA1;CMPACNAGALBSD;CMPACNAGD1B;CMPACNAGM1	Q16842
STEAP3	protein_STEAP3	c	CU2RD;FE3RD	Q658P3
STEAP3	protein_STEAP3	pm	TMCU2RDte;TMFE3RDte	Q658P3
STK11	protein_STK11	c	PROTSK;PROTTK	Q15831
STRADB	protein_STRADB	c	PROTSK;PROTTK	Q9C0K7
SYK	protein_SYK	c	PROTYK	P43405
SYNJ1	protein_SYNJ1	c	MI145P5PP;PI45P5P;PI4PP	O43426
TALDO1	protein_TALDO1	c	TALA	P37837
TARS1	protein_TARS1	c	THRTRS	P26639
TECR	protein_TECR	c	FACOA2ERy_16_2E;FACOA2ERy_17_2E;FACOA2ERy_18_2E;FACOA2ERy_19_2E;FACOA2ERy_20_2E;FACOA2ERy_20_2E11Z;FACOA2ERy_20_2E11Z14Z;FACOA2ERy_20_2E11Z14Z17Z;FACOA2ERy_20_2E13Z;FACOA2ERy_20_2E5Z8Z11Z14Z;FACOA2ERy_20_2E8Z11Z;FACOA2ERy_20_2E8Z11Z14Z;FACOA2ERy_20_2E9Z;FACOA2ERy_21_2E;FACOA2ERy_22_2E;FACOA2ERy_22_2E10Z13Z16Z;FACOA2ERy_22_2E10Z13Z16Z19Z;FACOA2ERy_22_2E11Z;FACOA2ERy_22_2E13Z;FACOA2ERy_22_2E13Z16Z;FACOA2ERy_22_2E13Z16Z19Z;FACOA2ERy_22_2E7Z10Z13Z16Z;FACOA2ERy_22_2E7Z10Z13Z16Z19Z;FACOA2ERy_23_2E;FACOA2ERy_24_2E;FACOA2ERy_24_2E12Z15Z18Z21Z;FACOA2ERy_24_2E15Z;FACOA2ERy_24_2E9Z12Z15Z18Z;FACOA2ERy_24_2E9Z12Z15Z18Z21Z;FACOA2ERy_26_2E;FACOA2ERy_26_2E17Z	Q9NZ01
TF	protein_TF	pm	FE3t	P02787
TFR2	protein_TFR2	pm	FE3t	Q9UP52
TFRC	protein_TFRC	pm	FE3t	P02786
TGM2	protein_TGM2	c	PROTQADRNLGMT;PROTQDPAMGMT;PROTQGLUN;PROTQHISTAGMT;PROTQPROTLGMT;PROTQSRTNGMT	P21980
TGM3	protein_TGM3	c	PROTQPROTLGMT	Q08188
THOP1	protein_THOP1	c	ANGIO1THOP	P52888
THTPA	protein_THTPA	c	THMTP	Q9BU02
TKFC	protein_TKFC	c	DHAK;FADL;TRIOK	Q3LXA3
TKT	protein_TKT	c	TKT1;TKT2	P29401
TMEM109	protein_TMEM109	pm	CA2t;Kt1	Q9BVC6
TMEM30A	protein_TMEM30A	pm	PEFLIPt;PSFLIPt	Q9NV96
TMT1A	protein_TMT1A	c	H2SMT	Q9H8H3
TPI1	protein_TPI1	c	TPI	P60174
TPK1	protein_TPK1	c	TMDPK;TMDPK2;TMDPK3;TMDPK4	Q9H3S4
TPMT	protein_TPMT	c	MERCPURMT;THIOGMPMT;THIOIMPMT	P51580
TRIM58	protein_TRIM58	c	UBIQE2CONJT	Q8NG06
TRPC6	protein_TRPC6	pm	CA2t	Q9Y210
TRPV2	protein_TRPV2	pm	CA2t	Q9Y5S1
TSPO2	protein_TSPO2	pm	5AOPt2;ATPte	Q5TGU0
TSTD1	protein_TSTD1	c	HTSULGTHST	Q8NFU3
TXN	protein_TXN	c	CYSTRDX;DHLIPTRD;HCYSTRDX;MCPST3;MDHDASCBRy;METSELNEORy;METSELNIORy;PRDX2TRDXRD;SELNIOR3y;TRDRy	P10599
TXNDC17	protein_TXNDC17	c	CYSTRDX;DHLIPTRD;HCYSTRDX;MCPST3;METSELNEORy;METSELNIORy;SELNIOR3y;TRDRy	Q9BRA2
TXNDC5	protein_TXNDC5	c	INSULINGTHOR	Q8NBS9
TXNL1	protein_TXNL1	c	CYSTRDX;DHLIPTRD;HCYSTRDX;MCPST3;MDHDASCBRy;METSELNEORy;METSELNIORy;PRDX2TRDXRD;SELNIOR3y;TRDRy	O43396
TXNRD1	protein_TXNRD1	c	MDHDASCBRy;METSELNEORy;METSELNIORy;Q102ERx;Q102ERy;SELNIOR3y;TRDRy	Q16881
UAP1	protein_UAP1	c	UAGALDP;UAGDP	Q16222
UBA1	protein_UBA1	c	UBIQE1ACT	P22314
UBA3	protein_UBA3	c	NEDD8E1ACT	Q8TBC4
UBA6	protein_UBA6	c	UBIQE1ACT	A0AVT1
UBAC1	protein_UBAC1	c	UBIQE2CONJT	Q9BSL1
UBB	protein_UBB	c	POLYUBBPL	P0CG47
UBE2L3	protein_UBE2L3	c	UBIQE1E2T	P68036
UBE2M	protein_UBE2M	c	NEDD8E1E2T	P61081
UBE2N	protein_UBE2N	c	UBIQE1E2T	P61088
UBE2O	protein_UBE2O	c	UBIQE1T	Q9C0C9
UBE2V1	protein_UBE2V1	c	UBIQE1E2T	Q13404
UBE2V2	protein_UBE2V2	c	UBIQE1E2T	Q15819
UBR4	protein_UBR4	c	UBIQE2CONJT	Q5T4S7
UBXN1	protein_UBXN1	c	NTPA	Q04323
UBXN6	protein_UBXN6	c	NTPA	Q9BZV1
UBXN7	protein_UBXN7	c	NTPA	O94888
UFD1	protein_UFD1	c	NTPA	Q92890
UGP2	protein_UGP2	c	GALT;GALU	Q16851
UMPS	protein_UMPS	c	5FLURAPT;OMPDC;ORPT	P11172
UROD	protein_UROD	c	UPPG1DC;UPPG3DC	P06132
UROS	protein_UROS	c	UPPG3S	P10746
USP5	protein_USP5	c	POLYUBBPL	P45974
VARS1	protein_VARS1	c	VALTRS	P26640
VCP	protein_VCP	c	NTPA	P55072
VCPIP1	protein_VCPIP1	c	NTPA	Q96JH7
VDAC1	protein_VDAC1	pm	ACHt;ATPte;CA2t;GLUte;Kt1;LDPAMt;MG2tec;NAt	P21796
VDAC2	protein_VDAC2	pm	ATPte	P45880
VDAC3	protein_VDAC3	pm	ATPte	Q9Y277
VPS4A	protein_VPS4A	c	NTPA	Q9UN37
VPS4B	protein_VPS4B	c	NTPA	O75351
WARS1	protein_WARS1	c	TRPTRS	P23381
WDR77	protein_WDR77	c	PRMTMMA;PRMTSDMA	Q9BQA1
WNK1	protein_WNK1	c	PROTSK;PROTTK	Q9H4A3
XPNPEP1	protein_XPNPEP1	c	APDPP;FPDPP;GPDPP;LPDPP;MPDPP;PPDPP;RPPTPAP;VPDPP	Q9NQW7
XYLB	protein_XYLB	c	XYLK	O75191
YARS1	protein_YARS1	c	TYRTRS	P54577
YES1	protein_YES1	c	PROTYK	P07947
ZDHHC2	protein_ZDHHC2	c	PROTCSAT_14_0;PROTCSAT_16_0;PROTCSAT_18_0	Q9UIJ5
ZDHHC20	protein_ZDHHC20	c	PROTCSAT_14_0;PROTCSAT_16_0;PROTCSAT_18_0	Q5W0Z9
ZDHHC3	protein_ZDHHC3	c	PROTCSAT_14_0;PROTCSAT_16_0;PROTCSAT_18_0	Q9NYG2
ZDHHC5	protein_ZDHHC5	c	PROTCSAT_14_0;PROTCSAT_16_0;PROTCSAT_18_0	Q9C0B5
