genes	name	uniprot	ncbigene	hgnc.symbol	proteomic evidence (#studies)	proteomic evidence (pubmed)	references	notes
LANCL1	LANC1	O43813	10314	LANCL1	14	pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:15811525;pubmed:9512664	
LAP3	AMPL	P28838	51056	LAP3	14	pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:7002549	
LHPP	LHPP	Q9H008	64077	LHPP	14	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591		
MAP2K3	MP2K3	P46734	5606	MAP2K3	14	pubmed:19778645;pubmed:24555563;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:36029940	
MAT2A	METK2	P31153	4144	MAT2A	14	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:25075345;pubmed:6871179	
MRI1	MTNA	Q9BV20	84245	MRI1	14	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591		
MTAP	MTAP	Q13126	4507	MTAP	14	pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:6406103	
NAMPT	NAMPT	P43490	10135	NAMPT	14	pubmed:18614565;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:13416279;pubmed:14704851	
PTPA	PTPA	Q15257	5524	PTPA	14	pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:2831201	
PTPN11	PTN11	Q06124	5781	PTPN11	14	pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:12070037;pubmed:14527338	
RAB5A	RAB5A	P20339	5868	RAB5A	14	pubmed:18494517;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
RAB6B	RAB6B	Q9NRW1	51560	RAB6B	14	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:38964323		
RHCE	RHCE	P18577	6006	RHCE	14	pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	doi:10.1134/S1990747816040097;pubmed:11861637;pubmed:20457942;pubmed:2123099;pubmed:35835865	
SLC12A7	S12A7	Q9Y666	10723	SLC12A7	14	pubmed:16861337;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:15911086	
SLC43A2	LAT4	Q8N370	124935	SLC43A2	14	pubmed:16861337;pubmed:24555563;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:3919011	
TXNRD1	TRXR1	Q16881	7296	TXNRD1	14	pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:8554614	
WNK1	WNK1	Q9H4A3	65125	WNK1	14	pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:30563844;pubmed:33626913	
ABCE1	ABCE1	P61221	6059	ABCE1	13	pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323		
ACTG1	ACTG	P63261	71	ACTG1	13	pubmed:12362340;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:25717184;pubmed:27055045;pubmed:284418;pubmed:35020457;pubmed:6682109	
ADH5	ADHX	P11766	128	ADH5	13	pubmed:18494517;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:2806555;pubmed:32597195;pubmed:3583286;pubmed:3615418	
AKR1C3	AK1C3	P42330	8644	AKR1C3	13	pubmed:18494517;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:4405572;pubmed:6932280	
ARF6	ARF6	P62330	382	ARF6	13	pubmed:18614565;pubmed:22954596;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323		
ART4	NAR4	Q93070	420	ART4	13	pubmed:16861337;pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:20932078;pubmed:29662110	
BMP2K	BMP2K	Q9NSY1	55589	BMP2K	13	pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38147558;pubmed:38964323		
CAD	PYR1	P27708	790	CAD	13	pubmed:18614565;pubmed:24555563;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:13654516;pubmed:24332717;pubmed:24448;pubmed:38827	
CYB5A	CYB5	P00167	1528	CYB5A	13	pubmed:18494517;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:1712589;pubmed:4030743;pubmed:4403130	
DCAF11	DCA11	Q8TEB1	80344	DCAF11	13	pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323		
GMPPB	GMPPB	Q9Y5P6	29925	GMPPB	13	pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323	pubmed:28833234	
GPX4	GPX4	P36969	2879	GPX4	13	pubmed:22954596;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:24039907;pubmed:34298465	
KCNN4	KCNN4	O15554	3783	KCNN4	13	pubmed:16861337;pubmed:24555563;pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38147558;pubmed:38964323	pubmed:12773623;pubmed:26001274;pubmed:26351678;pubmed:28619848;pubmed:31646528;pubmed:35848620	
MINPP1	MINP1	Q9UNW1	9562	MINPP1	13	pubmed:16861337;pubmed:19778645;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:1677198;pubmed:36589890	
NEDD8	NEDD8	Q15843	4738	NEDD8	13	pubmed:18494517;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:12740388	
NIT1	NIT1	Q86X76	4817	NIT1	13	pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323		
NME2	NDKB	P22392	4831	NME2	13	pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:1851158;pubmed:211386;pubmed:5555569;pubmed:5562833;pubmed:5903722;pubmed:5916396	
PAK2	PAK2	Q13177	5062	PAK2	13	pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:21214270;pubmed:25636585	
PKM	KPYM	P14618	5315	PKM	13	pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:1201198;pubmed:20857498;pubmed:6407511	
PLSCR4	PLS4	Q9NRQ2	57088	PLSCR4	13	pubmed:16861337;pubmed:24555563;pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323		
PNPLA6	PLPL6	Q8IY17	10908	PNPLA6	13	pubmed:16861337;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:17663017	
PTGES3	TEBP	Q15185	10728	PTGES3	13	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323		
QNG1	QNG1	Q5T6V5	84267	QNG1	13	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323		
RAB1A	RAB1A	P62820	5861	RAB1A	13	pubmed:16861337;pubmed:18494517;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37942280;pubmed:38147558;pubmed:38964323		
RAB2A	RAB2A	P61019	5862	RAB2A	13	pubmed:16861337;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323		
SLC43A1	LAT3	O75387	8501	SLC43A1	13	pubmed:16861337;pubmed:19778645;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:3919011	
TMT1A	TMT1A	Q9H8H3	25840	TMT1A	13	pubmed:16861337;pubmed:19778645;pubmed:24555563;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323	pubmed:30312994	
TRIM58	TRI58	Q8NG06	25893	TRIM58	13	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:38147558;pubmed:38964323	pubmed:25241935	
TXNDC17	TXD17	Q9BRA2	84817	TXNDC17	13	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
UBA3	UBA3	Q8TBC4	9039	UBA3	13	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:12740388	
VDAC3	VDAC3	Q9Y277	7419	VDAC3	13	pubmed:16861337;pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:21795748;pubmed:27641616	
VPS4A	VPS4A	Q9UN37	27183	VPS4A	13	pubmed:18494517;pubmed:18614565;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:33186543	
ABCC1	MRP1	P33527	4363	ABCC1	12	pubmed:16861337;pubmed:22954596;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:12879156;pubmed:16364236;pubmed:32996603	
ABCC5	MRP5	O15440	10057	ABCC5	12	pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:15794947;pubmed:32996603	
ACO1	ACOHC	P21399	48	ACO1	12	pubmed:18494517;pubmed:18614565;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:13800264	
ACTC1	ACTC	P68032	70	ACTC1	12	pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:33103907;pubmed:33806028;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:25717184;pubmed:27055045;pubmed:284418;pubmed:35020457;pubmed:6682109	
ADPRS	ADPRS	Q9NX46	54936	ADPRS	12	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:2379504;pubmed:3718498	
AKR1B1	ALDR	P15121	231	AKR1B1	12	pubmed:18494517;pubmed:18614565;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:18494517;pubmed:18614565;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:35858567;pubmed:36346805	
ATP11C	AT11C	Q8NB49	286410	ATP11C	12	pubmed:19778645;pubmed:22954596;pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:26944472;pubmed:30850395	
CARS1	SYCC	P49589	833	CARS1	12	pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:19421340;pubmed:35976696	
DCAF6	DCAF6	Q58WW2	55827	DCAF6	12	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323		
FTH1	FRIH	P02794	2495	FTH1	12	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:4796257;pubmed:6626742	
GSTT1	GSTT1	P30711	2952	GSTT1	12	pubmed:18614565;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:18614565;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805	
HK1	HXK1	P19367	3098	HK1	12	pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:12432216;pubmed:2297576;pubmed:4421639;pubmed:7061426;pubmed:9028305;pubmed:953036	
HSD17B12	DHB12	Q53GQ0	51144	HSD17B12	12	pubmed:16861337;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323		
IDH2	IDHP	P48735	3418	IDH2	12	pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
MAP2K1	MP2K1	Q02750	5604	MAP2K1	12	pubmed:18614565;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:22147898;pubmed:31709379	
MVD	MVD1	P53602	4597	MVD	12	pubmed:18494517;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323		
NRAS	RASN	P01111	4893	NRAS	12	pubmed:16861337;pubmed:18494517;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:31552303;pubmed:33806028;pubmed:35858567;pubmed:37942280		
PRDX5	PRDX5	P30044	25824	PRDX5	12	pubmed:18614565;pubmed:26474164;pubmed:27006477;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37942280;pubmed:38964323		
RBX1	RBX1	P62877	9978	RBX1	12	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:35858567;pubmed:38147558;pubmed:38964323		
SLC12A6	S12A6	Q9UHW9	9990	SLC12A6	12	pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:35858567;pubmed:38147558;pubmed:38964323	pubmed:15911086;pubmed:35848620	
SLK	SLK	Q9H2G2	9748	SLK	12	pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323		
STRADB	STRAB	Q9C0K7	55437	STRADB	12	pubmed:19778645;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323		
TF	TRFE	P02787	7018	TF	12	pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591		
TMEM30A	CC50A	Q9NV96	55754	TMEM30A	12	pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:30850395	
UROS	HEM4	P10746	7390	Mgu	12	pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:3805019;pubmed:900140	
ACSL6	ACSL6	Q9UKU0	23305	ACSL6	11	pubmed:19778645;pubmed:26078478;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:10548543;pubmed:16834775	
ACYP1	ACYP1	P07311	97	ACYP1	11	pubmed:18494517;pubmed:26474164;pubmed:27006477;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:3026468;pubmed:4311179	
ATP6V0A1	VPP1	Q93050	535	ATP6V0A1	11	pubmed:24555563;pubmed:26078478;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:33341364;pubmed:7796469	
ATP6V1H	VATH	Q9UI12	51606	ATP6V1H	11	pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:33341364;pubmed:7796469	
BPNT1	BPNT1	O95861	10380	BPNT1	11	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323		
CAB39	CAB39	Q9Y376	51719	CAB39	11	pubmed:16861337;pubmed:18614565;pubmed:22954596;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:38147558;pubmed:38964323		
CSNK2B	CSK2B	P67870	1460	CSNK2B	11	pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567	pubmed:19758581;pubmed:3866141	
ELOC	ELOC	Q15369	6921	ELOC	11	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323		
EPRS1	SYEP	P07814	2058	EPRS1	11	pubmed:18494517;pubmed:18614565;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:35858567;pubmed:37942280;pubmed:38964323		
FARSA	SYFA	Q9Y285	2193	FARSA	11	pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:19421340;pubmed:35976696	
FCSK	FCSK	Q8N0W3	197258	FCSK	11	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38147558;pubmed:38964323		
GART	PUR2	P22102	2618	GART	11	pubmed:18494517;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323		
GMDS	GMDS	O60547	2762	GMDS	11	pubmed:18614565;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:9525924	
GMPR2	GMPR2	Q9P2T1	51292	GMPR2	11	pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:12009299;pubmed:218932;pubmed:4149840	
GPHN	GEPH	Q9NQX3	10243	GPHN	11	pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323		
GUK1	KGUA	Q16774	2987	GUK1	11	pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:211390	
