	genes	mim	mim.phenotype	hgnc.symbol	type	ncbigene	ensembl	phenotype	cyto.location	morbid.symbol	chromosome	ensemble	mgi	title	title.symbol	mim.all	mim.phenotype.title	mim.phenotype.title.symbol
101	AQP3	600170	607457	AQP3	gene	360	ENSG00000165272	[Blood group GIL], 607457 (3)	9p13.3	AQP3	chr9	ENSG00000165272	1333777	AQUAPORIN 3	AQP3	600170;607457	GIL BLOOD GROUP	
102	ARF1	103180	618185	ARF1	gene	375	ENSG00000143761	Periventricular nodular heterotopia 8, 618185 (3)	1q42.13	ARF1	chr1	ENSG00000143761	99431	ADP-RIBOSYLATION FACTOR 1	ARF1	103180;618185	PERIVENTRICULAR NODULAR HETEROTOPIA 8	PVNH8
103	ARF6	600464		ARF6	gene	382	ENSG00000165527				chr14	ENSG00000165527	99435	ADP-RIBOSYLATION FACTOR 6	ARF6	600464		
104	ARG1	608313	207800	ARG1	gene	383	ENSG00000118520	Argininemia, 207800 (3)	6q23.2	ARG1	chr6	ENSG00000118520	88070	ARGINASE 1	ARG1	207800;608313	ARGININEMIA	
105	ARMT1	616332		ARMT1	gene	79624	ENSG00000146476				chr6	ENSG00000146476	1920669	ACIDIC RESIDUE METHYLTRANSFERASE 1	ARMT1	616332		
106	ART4	110600	616060	ART4	gene	420	ENSG00000111339	[Blood group, Dombrock], 616060 (3)	12p12.3	ART4	chr12	ENSG00000111339	1202710	ADP-RIBOSYLTRANSFERASE 4	ART4	110600;616060	BLOOD GROUP, DOMBROCK SYSTEM	DO
107	ASL	608310	207900	ASL	gene	435	ENSG00000126522	Argininosuccinic aciduria, 207900 (3)	7q11.21	ASL	chr7	ENSG00000126522	88084	ARGININOSUCCINATE LYASE	ASL	207900;608310	ARGININOSUCCINIC ACIDURIA	
108	ATIC	601731	608688	ATIC	gene	471	ENSG00000138363	AICA-ribosiduria due to ATIC deficiency, 608688 (3)	2q35	ATIC	chr2	ENSG00000138363	1351352	5-AMINOIMIDAZOLE-4-CARBOXAMIDE RIBONUCLEOTIDE FORMYLTRANSFERASE/IMP CYCLOHYDROLASE	ATIC	601731;608688	AICA-RIBOSIDURIA DUE TO ATIC DEFICIENCY	
109	ATP11A	605868	619810	ATP11A	gene	23250	ENSG00000068650	Deafness, autosomal dominant 84, 619810 (3)	13q34	ATP11A	chr13	ENSG00000068650	1354735	ATPase, PHOSPHOLIPID TRANSPORTING, 11A	ATP11A	605868;619810	DEAFNESS, AUTOSOMAL DOMINANT 84	DFNA84
110	ATP11A	605868	619851	ATP11A	gene	23250	ENSG00000068650	?Leukodystrophy, hypomyelinating, 24, 619851 (3)	13q34	ATP11A	chr13	ENSG00000068650	1354735	ATPase, PHOSPHOLIPID TRANSPORTING, 11A	ATP11A	605868;619851	LEUKODYSTROPHY, HYPOMYELINATING, 24	HLD24
111	ATP11A	605868	620384	ATP11A	gene	23250	ENSG00000068650	?Auditory neuropathy, autosomal dominant 2, 620384 (3)	13q34	ATP11A	chr13	ENSG00000068650	1354735	ATPase, PHOSPHOLIPID TRANSPORTING, 11A	ATP11A	605868;620384	AUDITORY NEUROPATHY, AUTOSOMAL DOMINANT 2	AUNA2
112	ATP11B	605869		ATP11B	gene	23200	ENSG00000058063				chr3	ENSG00000058063	1923545	ATPase, CLASS VI, TYPE 11B	ATP11B	605869		
113	ATP11C	300516	301015	ATP11C	gene	286410	ENSG00000101974	?Hemolytic anemia, congenital, X-linked, 301015 (3)	Xq27.1	ATP11C	chrX	ENSG00000101974	1859661	ATPase, CLASS VI, TYPE 11C	ATP11C	300516;301015	HEMOLYTIC ANEMIA, CONGENITAL, X-LINKED	HACXL
114	ATP1A1	182310	618036	ATP1A1	gene	476	ENSG00000163399	Charcot-Marie-Tooth disease, axonal, type 2DD, 618036 (3)	1p13.1	ATP1A1	chr1	ENSG00000163399	88105	ATPase, Na+/K+ TRANSPORTING, ALPHA-1 POLYPEPTIDE	ATP1A1	182310;618036	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2DD	CMT2DD
115	ATP1A1	182310	618314	ATP1A1	gene	476	ENSG00000163399	Hypomagnesemia, seizures, and impaired intellectual development 2, 618314 (3)	1p13.1	ATP1A1	chr1	ENSG00000163399	88105	ATPase, Na+/K+ TRANSPORTING, ALPHA-1 POLYPEPTIDE	ATP1A1	182310;618314	HYPOMAGNESEMIA, SEIZURES, AND IMPAIRED INTELLECTUAL DEVELOPMENT 2	HOMGSMR2
116	ATP1A3	182350	128235	ATP1A3	gene	478	ENSG00000105409	Dystonia-12, 128235 (3)	19q13.2	ATP1A3	chr19	ENSG00000105409	88107	ATPase, Na+/K+ TRANSPORTING, ALPHA-3 POLYPEPTIDE	ATP1A3	128235;182350	DYSTONIA 12	DYT12
117	ATP1A3	182350	601338	ATP1A3	gene	478	ENSG00000105409	CAPOS syndrome, 601338 (3)	19q13.2	ATP1A3	chr19	ENSG00000105409	88107	ATPase, Na+/K+ TRANSPORTING, ALPHA-3 POLYPEPTIDE	ATP1A3	182350;601338	CEREBELLAR ATAXIA, AREFLEXIA, PES CAVUS, OPTIC ATROPHY, AND SENSORINEURAL HEARING LOSS	CAPOS
118	ATP1A3	182350	614820	ATP1A3	gene	478	ENSG00000105409	Alternating hemiplegia of childhood 2, 614820 (3)	19q13.2	ATP1A3	chr19	ENSG00000105409	88107	ATPase, Na+/K+ TRANSPORTING, ALPHA-3 POLYPEPTIDE	ATP1A3	182350;614820	ALTERNATING HEMIPLEGIA OF CHILDHOOD 2	AHC2
119	ATP1A3	182350	619606	ATP1A3	gene	478	ENSG00000105409	Developmental and epileptic encephalopathy 99, 619606 (3)	19q13.2	ATP1A3	chr19	ENSG00000105409	88107	ATPase, Na+/K+ TRANSPORTING, ALPHA-3 POLYPEPTIDE	ATP1A3	182350;619606	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 99	DEE99
120	ATP1B1	182330	145500	ATP1B1	gene	481	ENSG00000143153	[Blood pressure regulation QTL], 145500 (2)	1q24.2	ATP1B1	chr1	ENSG00000143153	88108	ATPase, Na+/K+ TRANSPORTING, BETA-1 POLYPEPTIDE	ATP1B1	145500;182330	HYPERTENSION, ESSENTIAL	
121	ATP1B2	182331		ATP1B2	gene	482	ENSG00000129244				chr17	ENSG00000129244	88109	ATPase, Na+/K+ TRANSPORTING, BETA-2 POLYPEPTIDE	ATP1B2	182331		
122	ATP1B3	601867		ATP1B3	gene	483	ENSG00000069849				chr3	ENSG00000069849	107788	ATPase, Na+/K+ TRANSPORTING, BETA-3 POLYPEPTIDE	ATP1B3	601867		
123	ATP2B1	108731	619910	ATP2B1	gene	490	ENSG00000070961	Intellectual developmental disorder, autosomal dominant 66, 619910 (3)	12q21.33	ATP2B1	chr12	ENSG00000070961	104653	ATPase, Ca(2+)-TRANSPORTING, PLASMA MEMBRANE, 1	ATP2B1	108731;619910	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 66	MRD66
124	ATP2B4	108732		ATP2B4	gene	493	ENSG00000058668				chr1	ENSG00000058668	88111	ATPase, Ca(2+)-TRANSPORTING, PLASMA MEMBRANE, 4	ATP2B4	108732		
125	ATP6AP1	300197	300972	ATP6AP1	gene	537	ENSG00000071553	Immunodeficiency 47, 300972 (3)	Xq28	ATP6AP1	chrX	ENSG00000071553	109629	ATPase, H+ TRANSPORTING, LYSOSOMAL, ACCESSORY PROTEIN 1	ATP6AP1	300197;300972	IMMUNODEFICIENCY 47	IMD47
126	ATP6V0A1	192130	619970	ATP6V0A1	gene	535	ENSG00000033627	Developmental and epileptic encephalopathy 104, 619970 (3)	17q21.2	ATP6V0A1	chr17	ENSG00000033627	103286	ATPase, H+ TRANSPORTING, LYSOSOMAL, V0 SUBUNIT A1	ATP6V0A1	192130;619970	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 104	DEE104
127	ATP6V0A1	192130	619971	ATP6V0A1	gene	535	ENSG00000033627	Neurodevelopmental disorder with epilepsy and brain atrophy, 619971 (3)	17q21.2	ATP6V0A1	chr17	ENSG00000033627	103286	ATPase, H+ TRANSPORTING, LYSOSOMAL, V0 SUBUNIT A1	ATP6V0A1	192130;619971	NEURODEVELOPMENTAL DISORDER WITH EPILEPSY AND BRAIN ATROPHY	NEDEBA
128	ATP6V0C	108745	620465	ATP6V0C	gene	527	ENSG00000185883	Epilepsy, early-onset, 3, with or without developmental delay, 620465 (3)	16p13.3	ATP6V0C	chr16	ENSG00000185883	88116	ATPase, H+ TRANSPORTING, LYSOSOMAL, 16-KD, V0 SUBUNIT C	ATP6V0C	108745;620465	EPILEPSY, EARLY-ONSET, 3, WITH OR WITHOUT DEVELOPMENTAL DELAY	EPEO3
129	ATP6V1A	607027	617403	ATP6V1A	gene	523	ENSG00000114573	Cutis laxa, autosomal recessive, type IID, 617403 (3)	3q13.31	ATP6V1A	chr3	ENSG00000114573	1201780	ATPase, H+ TRANSPORTING, LYSOSOMAL, 70-KD, VI SUBUNIT A	ATP6V1A	607027;617403	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IID	ARCL2D
130	ATP6V1A	607027	618012	ATP6V1A	gene	523	ENSG00000114573	Developmental and epileptic encephalopathy 93, 618012 (3)	3q13.31	ATP6V1A	chr3	ENSG00000114573	1201780	ATPase, H+ TRANSPORTING, LYSOSOMAL, 70-KD, VI SUBUNIT A	ATP6V1A	607027;618012	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 93	DEE93
131	ATP6V1B2	606939	124480	ATP6V1B2	gene	526	ENSG00000147416	Deafness, congenital, with onychodystrophy, autosomal dominant, 124480 (3)	8p21.3	ATP6V1B2	chr8	ENSG00000147416	109618	ATPase, H+ TRANSPORTING, LYSOSOMAL, 56/58-KD, V1 SUBUNIT B, ISOFORM 2	ATP6V1B2	124480;606939	DEAFNESS, CONGENITAL, WITH ONYCHODYSTROPHY, AUTOSOMAL DOMINANT	DDOD
132	ATP6V1B2	606939	616455	ATP6V1B2	gene	526	ENSG00000147416	Zimmermann-Laband syndrome 2, 616455 (3)	8p21.3	ATP6V1B2	chr8	ENSG00000147416	109618	ATPase, H+ TRANSPORTING, LYSOSOMAL, 56/58-KD, V1 SUBUNIT B, ISOFORM 2	ATP6V1B2	606939;616455	ZIMMERMANN-LABAND SYNDROME 2	ZLS2
133	ATP6V1C1	603097		ATP6V1C1	gene	528	ENSG00000155097				chr8	ENSG00000155097	1913585	ATPase, H+ TRANSPORTING, LYSOSOMAL, 42-KD, V1 SUBUNIT C, ISOFORM 1	ATP6V1C1	603097		
134	ATP6V1D	609398		ATP6V1D	gene	51382	ENSG00000100554				chr14	ENSG00000100554	1921084	ATPase, H+ TRANSPORTING, LYSOSOMAL, 34-KD, V1 SUBUNIT D	ATP6V1D	609398		
135	ATP6V1E1	108746	617402	ATP6V1E1	gene	529	ENSG00000131100	Cutis laxa, autosomal recessive, type IIC, 617402 (3)	22q11.21	ATP6V1E1	chr22	ENSG00000131100	894326	ATPase, H+ TRANSPORTING, LYSOSOMAL, 31-KD, V1 SUBUNIT E, ISOFORM 1	ATP6V1E1	108746;617402	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIC	ARCL2C
136	ATP6V1F	607160		ATP6V1F	gene	9296	ENSG00000128524				chr7	ENSG00000128524	1913394	ATPase, H+ TRANSPORTING, LYSOSOMAL, 14-KD, V1 SUBUNIT F	ATP6V1F	607160		
137	ATP6V1G1	607296		ATP6V1G1	gene	9550	ENSG00000136888				chr9	ENSG00000136888	1913540	ATPase, H+ TRANSPORTING, LYSOSOMAL, 13-KD, V1 SUBUNIT G, ISOFORM 1	ATP6V1G1	607296		
138	ATP6V1H	608861		ATP6V1H	gene	51606	ENSG00000047249				chr8	ENSG00000047249	1914864	ATPase, H+ TRANSPORTING, LYSOSOMAL, 50/57-KD, V1 SUBUNIT H	ATP6V1H	608861		
139	ATP7A	300011	300489	ATP7A	gene	538	ENSG00000165240	Neuronopathy, distal hereditary motor, X-linked, 300489 (3)	Xq21.1	ATP7A	chrX	ENSG00000165240	99400	ATPase, Cu(2+)-TRANSPORTING, ALPHA POLYPEPTIDE	ATP7A	300011;300489	NEURONOPATHY, DISTAL HEREDITARY MOTOR, X-LINKED	HMNX
140	ATP7A	300011	304150	ATP7A	gene	538	ENSG00000165240	Occipital horn syndrome, 304150 (3)	Xq21.1	ATP7A	chrX	ENSG00000165240	99400	ATPase, Cu(2+)-TRANSPORTING, ALPHA POLYPEPTIDE	ATP7A	300011;304150	OCCIPITAL HORN SYNDROME	OHS
141	ATP7A	300011	309400	ATP7A	gene	538	ENSG00000165240	Menkes disease, 309400 (3)	Xq21.1	ATP7A	chrX	ENSG00000165240	99400	ATPase, Cu(2+)-TRANSPORTING, ALPHA POLYPEPTIDE	ATP7A	300011;309400	MENKES DISEASE	MNK
142	ATP7B	606882	277900	ATP7B	gene	540	ENSG00000123191	Wilson disease, 277900 (3)	13q14.3	ATP7B	chr13	ENSG00000123191	103297	ATPase, Cu(2+)-TRANSPORTING, BETA POLYPEPTIDE	ATP7B	277900;606882	WILSON DISEASE	WND
143	B3GALNT1	603094	111400	B3GALNT1	gene	8706	ENSG00000169255	[Blood group, P1PK system, P(k) phenotype], 111400 (3)	3q26.1	B3GALT3	chr3	ENSG00000169255	1349405	BETA-1,3-N-ACETYLGALACTOSAMINYLTRANSFERASE 1	B3GALNT1	111400;603094	BLOOD GROUP, P1PK SYSTEM	
144	B3GALNT1	603094	615021	B3GALNT1	gene	8706	ENSG00000169255	[Blood group, globoside system], 615021 (3)	3q26.1	B3GALT3	chr3	ENSG00000169255	1349405	BETA-1,3-N-ACETYLGALACTOSAMINYLTRANSFERASE 1	B3GALNT1	603094;615021	BLOOD GROUP, GLOBOSIDE SYSTEM	GLOB
145	BHMT	602888		BHMT	gene	635	ENSG00000145692				chr5	ENSG00000145692	1339972;3643681	BETAINE-HOMOCYSTEINE METHYLTRANSFERASE	BHMT	602888		
146	BLVRA	109750	614156	BLVRA	gene	644	ENSG00000106605	Hyperbiliverdinemia, 614156 (3)	7p13	BLVRA	chr7	ENSG00000106605	88170	BILIVERDIN REDUCTASE A	BLVRA	109750;614156	HYPERBILIVERDINEMIA	HBLVD
147	BLVRB	600941		BLVRB	gene	645	ENSG00000090013				chr19	ENSG00000090013	2385271	BILIVERDIN REDUCTASE B	BLVRB	600941		
148	BMP2K	617648		BMP2K	gene	55589	ENSG00000138756				chr4	ENSG00000138756	2155456	BMP2-INDUCIBLE KINASE	BMP2K	617648		
149	BPGM	613896	222800	BPGM	gene	669	ENSG00000172331	Erythrocytosis, familial, 8, 222800 (3)	7q33	BPGM	chr7	ENSG00000172331	1098242	BISPHOSPHOGLYCERATE MUTASE	BPGM	222800;613896	ERYTHROCYTOSIS, FAMILIAL, 8	ECYT8
150	BPNT1	604053		BPNT1	gene	10380	ENSG00000162813				chr1	ENSG00000162813	1338800	3-PRIME(2-PRIME),5-PRIME-BISPHOSPHATE NUCLEOTIDASE 1	BPNT1	604053		
151	BSG	109480	111380	BSG	gene	682	ENSG00000172270	[Blood group, OK], 111380 (3)	19p13.3	BSG	chr19	ENSG00000172270	88208	BASIGIN	BSG	109480;111380	BLOOD GROUP--OK	OK
152	C1GALT1	610555		C1GALT1	gene	56913	ENSG00000106392				chr7	ENSG00000106392	2151071	CORE 1 SYNTHASE, GLYCOPROTEIN-N-ACETYLGALACTOSAMINE 3-BETA-GALACTOSYLTRANSFERASE, 1	C1GALT1	610555		
153	C1GALT1C1	300611	300622	C1GALT1C1	gene	29071	ENSG00000171155	Tn polyagglutination syndrome, somatic, 300622 (3)	Xq24	C1GALT1C1	chrX	ENSG00000171155	1913493	C1GALT1-SPECIFIC CHAPERONE 1	C1GALT1C1	300611;300622	TN POLYAGGLUTINATION SYNDROME	TNPS
154	C1GALT1C1	300611	301110	C1GALT1C1	gene	29071	ENSG00000171155	Hemolytic uremic syndrome, atypical, 8, with rhizomelic short stature, 301110 (3)	Xq24	C1GALT1C1	chrX	ENSG00000171155	1913493	C1GALT1-SPECIFIC CHAPERONE 1	C1GALT1C1	300611;301110	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, 8, WITH RHIZOMELIC SHORT STATURE	AHUS8
155	CA1	114800		CA1	gene	759	ENSG00000133742				chr8	ENSG00000133742	88268	CARBONIC ANHYDRASE I	CA1	114800		
156	CA2	611492	259730	CA2	gene	760	ENSG00000104267	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis, 259730 (3)	8q21.2	CA2	chr8	ENSG00000104267	88269	CARBONIC ANHYDRASE II	CA2	259730;611492	OSTEOPETROSIS, AUTOSOMAL RECESSIVE 3	OPTB3
157	CA3	114750		CA3	gene	761	ENSG00000164879				chr8	ENSG00000164879	88270	CARBONIC ANHYDRASE III	CA3	114750		
158	CA4	114760		CA4	gene	762	ENSG00000167434				chr17	ENSG00000167434	1096574	CARBONIC ANHYDRASE IV	CA4	114760		
159	CACNA1A	601011	108500	CACNA1A	gene	773	ENSG00000141837	Episodic ataxia, type 2, 108500 (3)	19p13.13	CACNA1A	chr19	ENSG00000141837	109482	CALCIUM CHANNEL, VOLTAGE-DEPENDENT, P/Q TYPE, ALPHA-1A SUBUNIT	CACNA1A	108500;601011	EPISODIC ATAXIA, TYPE 2	EA2
160	CACNA1A	601011	141500	CACNA1A	gene	773	ENSG00000141837	Migraine, familial hemiplegic, 1, 141500 (3);Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia, 141500 (3)	19p13.13	CACNA1A	chr19	ENSG00000141837	109482	CALCIUM CHANNEL, VOLTAGE-DEPENDENT, P/Q TYPE, ALPHA-1A SUBUNIT	CACNA1A	141500;601011	MIGRAINE, FAMILIAL HEMIPLEGIC, 1	FHM1
161	CACNA1A	601011	183086	CACNA1A	gene	773	ENSG00000141837	Spinocerebellar ataxia 6, 183086 (3)	19p13.13	CACNA1A	chr19	ENSG00000141837	109482	CALCIUM CHANNEL, VOLTAGE-DEPENDENT, P/Q TYPE, ALPHA-1A SUBUNIT	CACNA1A	183086;601011	SPINOCEREBELLAR ATAXIA 6	SCA6
162	CACNA1A	601011	617106	CACNA1A	gene	773	ENSG00000141837	Developmental and epileptic encephalopathy 42, 617106 (3)	19p13.13	CACNA1A	chr19	ENSG00000141837	109482	CALCIUM CHANNEL, VOLTAGE-DEPENDENT, P/Q TYPE, ALPHA-1A SUBUNIT	CACNA1A	601011;617106	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 42	DEE42
163	CAD	114010	616457	CAD	gene	790	ENSG00000084774	Developmental and epileptic encephalopathy 50, 616457 (3)	2p23.3	CAD	chr2	ENSG00000084774	1916969	CARBAMOYL PHOSPHATE SYNTHETASE/ASPARTATE TRANSCARBAMYLASE/DIHYDROOROTASE	CAD	114010;616457	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 50	DEE50
164	CAND1	607727		CAND1	gene	55832	ENSG00000111530				chr12	ENSG00000111530	1261820	CULLIN-ASSOCIATED NEDDYLATION-DISSOCIATED PROTEIN 1	CAND1	607727		
165	CARM1	603934		CARM1	gene	10498	ENSG00000142453				chr19	ENSG00000142453	1913208	COACTIVATOR-ASSOCIATED ARGININE METHYLTRANSFERASE 1	CARM1	603934		
166	CARS1	123859	618891	CARS1	gene	833	ENSG00000110619	Microcephaly, developmental delay, and brittle hair syndrome, 618891 (3)	11p15.4	CARS1	chr11	ENSG00000110619	1351477	CYSTEINYL-tRNA SYNTHETASE 1	CARS1	123859;618891	MICROCEPHALY, DEVELOPMENTAL DELAY, AND BRITTLE HAIR SYNDROME	MDBH
167	CAT	115500	614097	CAT	gene	847	ENSG00000121691	Acatalasemia, 614097 (3)	11p13	CAT	chr11	ENSG00000121691	88271	CATALASE	CAT	115500;614097	ACATALASEMIA	
168	CBR1	114830		CBR1	gene	873	ENSG00000159228				chr21	ENSG00000159228	3646098;88284	CARBONYL REDUCTASE 1	CBR1	114830		
169	CBR3	603608		CBR3	gene	874	ENSG00000159231				chr21	ENSG00000159231	1309992	CARBONYL REDUCTASE 3	CBR3	603608		
170	CD36	173510	608404	CD36	gene	948	ENSG00000135218	Platelet glycoprotein IV deficiency, 608404 (3)	7q21.11	CD36	chr7	ENSG00000135218	107899	CD36 ANTIGEN	CD36	173510;608404	PLATELET GLYCOPROTEIN IV DEFICIENCY	
171	CD36	173510	610938	CD36	gene	948	ENSG00000135218	{Coronary heart disease, susceptibility to, 7}, 610938 (3)	7q21.11	CD36	chr7	ENSG00000135218	107899	CD36 ANTIGEN	CD36	173510;610938	CORONARY HEART DISEASE, SUSCEPTIBILITY TO, 7	CHDS7
172	CD36	173510	611162	CD36	gene	948	ENSG00000135218	{Malaria, cerebral, susceptibility to}, 611162 (3);{Malaria, cerebral, reduced risk of}, 611162 (3)	7q21.11	CD36	chr7	ENSG00000135218	107899	CD36 ANTIGEN	CD36	173510;611162	MALARIA, SUSCEPTIBILITY TO	
173	CD38	107270		CD38	gene	952	ENSG00000004468				chr4	ENSG00000004468	107474	CD38 ANTIGEN	CD38	107270		
174	CDC34	116948		CDC34	gene	997	ENSG00000099804				chr19	ENSG00000099804	102657;1858429	CELL DIVISION CYCLE 34, UBIQUITIN-CONJUGATING ENZYME	CDC34	116948		
175	CDC42	116952	616737	CDC42	gene	998	ENSG00000070831	Takenouchi-Kosaki syndrome, 616737 (3)	1p36.12	CDC42	chr1	ENSG00000070831	106211	CELL DIVISION CYCLE 42	CDC42	116952;616737	TAKENOUCHI-KOSAKI SYNDROME	TKS
176	CDIPT	605893		CDIPT	gene	10423	ENSG00000103502				chr16	ENSG00000103502	105491	CDP-DIACYLGLYCEROL-INOSITOL 3-PHOSPHATIDYLTRANSFERASE	CDIPT	605893		
177	CDK2	116953		CDK2	gene	1017	ENSG00000123374				chr12	ENSG00000123374	104772	CYCLIN-DEPENDENT KINASE 2	CDK2	116953		
178	CDK4	123829	609048	CDK4	gene	1019	ENSG00000135446	{Melanoma, cutaneous malignant, 3}, 609048 (3)	12q14.1	CDK4	chr12	ENSG00000135446	88357	CYCLIN-DEPENDENT KINASE 4	CDK4	123829;609048	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 3	CMM3
179	CDK5	123831	616342	CDK5	gene	1020	ENSG00000164885	?Lissencephaly 7 with cerebellar hypoplasia, 616342 (3)	7q36.1	CDK5	chr7	ENSG00000164885	101765	CYCLIN-DEPENDENT KINASE 5	CDK5	123831;616342	LISSENCEPHALY 7 WITH CEREBELLAR HYPOPLASIA	LIS7
180	CDK6	603368	616080	CDK6	gene	1021	ENSG00000105810	?Microcephaly 12, primary, autosomal recessive, 616080 (3)	7q21.2	CDK6	chr7	ENSG00000105810	1277162	CYCLIN-DEPENDENT KINASE 6	CDK6	603368;616080	MICROCEPHALY 12, PRIMARY, AUTOSOMAL RECESSIVE	MCPH12
181	CDS2	603549		CDS2	gene	8760	ENSG00000101290				chr20	ENSG00000101290	1332236	CDP-DIACYLGLYCEROL SYNTHASE 2	CDS2	603549		
182	CFTR	602421		CFTR	gene	1080	ENSG00000001626	Sweat chloride elevation without CF (3);{Hypertrypsinemia, neonatal} (3)	7q31.2	CFTR	chr7	ENSG00000001626	88388	CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR	CFTR	602421		
183	CFTR	602421	167800	CFTR	gene	1080	ENSG00000001626	{Pancreatitis, hereditary}, 167800 (3)	7q31.2	CFTR	chr7	ENSG00000001626	88388	CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR	CFTR	167800;602421	PANCREATITIS, HEREDITARY	PCTT
184	CFTR	602421	211400	CFTR	gene	1080	ENSG00000001626	{Bronchiectasis with or without elevated sweat chloride 1, modifier of}, 211400 (3)	7q31.2	CFTR	chr7	ENSG00000001626	88388	CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR	CFTR	211400;602421	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1	BESC1
185	CFTR	602421	219700	CFTR	gene	1080	ENSG00000001626	Cystic fibrosis, 219700 (3)	7q31.2	CFTR	chr7	ENSG00000001626	88388	CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR	CFTR	219700;602421	CYSTIC FIBROSIS	CF
186	CFTR	602421	277180	CFTR	gene	1080	ENSG00000001626	Congenital bilateral absence of vas deferens, 277180 (3)	7q31.2	CFTR	chr7	ENSG00000001626	88388	CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR	CFTR	277180;602421	VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF	CBAVD
187	CHAC2	617446		CHAC2	gene	494143	ENSG00000143942				chr2	ENSG00000143942	1915294	CHAC CATION TRANSPORT REGULATOR HOMOLOG 2	CHAC2	617446		
188	CKB	123280		CKB	gene	1152	ENSG00000166165				chr14	ENSG00000166165	88407	CREATINE KINASE, BRAIN TYPE	CKB	123280		
189	CKM	123310		CKM	gene	1158	ENSG00000104879				chr19	ENSG00000104879	88413	CREATINE KINASE, MUSCLE TYPE	CKM	123310		
190	CLCN2	600570	605635	CLCN2	gene	1181	ENSG00000114859	Hyperaldosteronism, familial, type II, 605635 (3)	3q27.1	CLCN2	chr3	ENSG00000114859	105061	CHLORIDE CHANNEL 2	CLCN2	600570;605635	HYPERALDOSTERONISM, FAMILIAL, TYPE II	HALD2
191	CLCN2	600570	607628	CLCN2	gene	1181	ENSG00000114859	{Epilepsy, idiopathic generalized, susceptibility to, 11}, 607628 (3);{Epilepsy, juvenile myoclonic, susceptibility to, 8}, 607628 (3);{Epilepsy, juvenile absence, susceptibility to, 2}, 607628 (3)	3q27.1	CLCN2	chr3	ENSG00000114859	105061	CHLORIDE CHANNEL 2	CLCN2	600570;607628	EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 11	EIG11
192	CLCN2	600570	615651	CLCN2	gene	1181	ENSG00000114859	Leukoencephalopathy with ataxia, 615651 (3)	3q27.1	CLCN2	chr3	ENSG00000114859	105061	CHLORIDE CHANNEL 2	CLCN2	600570;615651	LEUKOENCEPHALOPATHY WITH ATAXIA	LKPAT
193	CLCN3	600580	619512	CLCN3	gene	1182	ENSG00000109572	Neurodevelopmental disorder with hypotonia and brain abnormalities, 619512 (3)	4q33	CLCN3	chr4	ENSG00000109572	103555	CHLORIDE CHANNEL 3	CLCN3	600580;619512	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND BRAIN ABNORMALITIES	NEDHYBA
194	CLCN3	600580	619517	CLCN3	gene	1182	ENSG00000109572	Neurodevelopmental disorder with seizures and brain abnormalities, 619517 (3)	4q33	CLCN3	chr4	ENSG00000109572	103555	CHLORIDE CHANNEL 3	CLCN3	600580;619517	NEURODEVELOPMENTAL DISORDER WITH SEIZURES AND BRAIN ABNORMALITIES	NEDSBA
195	CLIC1	602872		CLIC1	gene	1192	ENSG00000213719				chr6	ENSG00000213719	2148924	CHLORIDE INTRACELLULAR CHANNEL 1	CLIC1	602872		
196	CLIC2	300138	300886	CLIC2	gene	1193	ENSG00000155962	?Intellectual developmental disorder, X-linked syndromic 32, 300886 (3)	Xq28	CLIC2	chrX	ENSG00000155962		CHLORIDE INTRACELLULAR CHANNEL 2	CLIC2	300138;300886	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 32	MRXS32
197	CLIC3	606533		CLIC3	gene	9022	ENSG00000169583				chr9	ENSG00000169583	1916704	CHLORIDE INTRACELLULAR CHANNEL 3	CLIC3	606533		
198	CLIC4	606536		CLIC4	gene	25932	ENSG00000169504				chr1	ENSG00000169504	1352754	CHLORIDE INTRACELLULAR CHANNEL 4	CLIC4	606536		
