Entry	Entry Name	Protein	Protein Names	Gene Names (Primary)	Length	Mass
O75340	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6 (Apoptosis-linked gene 2 protein homolog) (ALG-2)	PDCD6	191	21868
O75347	TBCA_HUMAN	TBCA	Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA)	TBCA	108	12855
O75348	VATG1_HUMAN	VATG1	V-type proton ATPase subunit G 1 (V-ATPase subunit G 1) (V-ATPase 13 kDa subunit 1) (Vacuolar proton pump subunit G 1) (Vacuolar proton pump subunit M16)	ATP6V1G1	118	13758
O75352	MPU1_HUMAN	MPU1	Mannose-P-dolichol utilization defect 1 protein (Suppressor of Lec15 and Lec35 glycosylation mutation homolog) (SL15)	MPDU1	247	26638
O75368	SH3L1_HUMAN	SH3L1	Adapter SH3BGRL (SH3 domain-binding glutamic acid-rich-like protein 1)	SH3BGRL	114	12774
O75396	SC22B_HUMAN	SC22B	Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1)	SEC22B	215	24741
O75460	ERN1_HUMAN	ERN1	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	ERN1	977	109735
O75558	STX11_HUMAN	STX11	Syntaxin-11	STX11	287	33196
O75608	LYPA1_HUMAN	LYPA1	Acyl-protein thioesterase 1 (APT-1) (hAPT1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I) (Palmitoyl-protein hydrolase) (EC 3.1.2.22)	LYPLA1	230	24670
O75636	FCN3_HUMAN	FCN3	Ficolin-3 (Collagen/fibrinogen domain-containing lectin 3 p35) (Collagen/fibrinogen domain-containing protein 3) (Hakata antigen)	FCN3	299	32903
O75663	TIPRL_HUMAN	TIPRL	TIP41-like protein (Putative MAPK-activating protein PM10) (Type 2A-interacting protein) (TIP)	TIPRL	272	31444
O75688	PPM1B_HUMAN	PPM1B	Protein phosphatase 1B (EC 3.1.3.16) (Protein phosphatase 2C isoform beta) (PP2C-beta)	PPM1B	479	52643
O75695	XRP2_HUMAN	XRP2	Protein XRP2	RP2	350	39641
O75821	EIF3G_HUMAN	EIF3G	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44)	EIF3G	320	35611
O75822	EIF3J_HUMAN	EIF3J	Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 subunit 1) (eIF-3-alpha) (eIF3 p35)	EIF3J	258	29062
O75832	PSD10_HUMAN	PSD10	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))	PSMD10	226	24428
O75874	IDHC_HUMAN	IDHC	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH1	414	46659
O75882	ATRN_HUMAN	ATRN	Attractin (DPPT-L) (Mahogany homolog)	ATRN	1429	158537
O75915	PRAF3_HUMAN	PRAF3	PRA1 family protein 3 (ADP-ribosylation factor-like protein 6-interacting protein 5) (ARL-6-interacting protein 5) (Aip-5) (Cytoskeleton-related vitamin A-responsive protein) (Dermal papilla-derived protein 11) (GTRAP3-18) (Glutamate transporter EAAC1-interacting protein) (JM5) (Prenylated Rab acceptor protein 2) (Protein JWa) (Putative MAPK-activating protein PM27)	ARL6IP5	188	21615
O75955	FLOT1_HUMAN	FLOT1	Flotillin-1	FLOT1	427	47355
O76003	GLRX3_HUMAN	GLRX3	Glutaredoxin-3 (PKC-interacting cousin of thioredoxin) (PICOT) (PKC-theta-interacting protein) (PKCq-interacting protein) (Thioredoxin-like protein 2)	GLRX3	335	37432
O76009	KT33A_HUMAN	KT33A	"Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)"	KRT33A	404	45940
O76054	S14L2_HUMAN	S14L2	SEC14-like protein 2 (Alpha-tocopherol-associated protein) (TAP) (hTAP) (Squalene transfer protein) (Supernatant protein factor) (SPF)	SEC14L2	403	46145
O76071	CIAO1_HUMAN	CIAO1	Probable cytosolic iron-sulfur protein assembly protein CIAO1 (WD repeat-containing protein 39)	CIAO1	339	37840
O94829	IPO13_HUMAN	IPO13	Importin-13 (Imp13) (Karyopherin-13) (Kap13) (Ran-binding protein 13) (RanBP13)	IPO13	963	108195
O94832	MYO1D_HUMAN	MYO1D	Unconventional myosin-Id	MYO1D	1006	116202
O94850	DEND_HUMAN	DEND	Dendrin	DDN	711	75996
O94889	KLH18_HUMAN	KLH18	Kelch-like protein 18	KLHL18	574	63638
O94903	PLPHP_HUMAN	PLPHP	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein) (Proline synthase co-transcribed bacterial homolog protein) (Pyridoxal phosphate-binding protein)	PLPBP	275	30344
O94919	ENDD1_HUMAN	ENDD1	Endonuclease domain-containing 1 protein (EC 3.1.30.-)	ENDOD1	500	55017
O94966	UBP19_HUMAN	UBP19	Ubiquitin carboxyl-terminal hydrolase 19 (EC 3.4.19.12) (Deubiquitinating enzyme 19) (Ubiquitin thioesterase 19) (Ubiquitin-specific-processing protease 19) (Zinc finger MYND domain-containing protein 9)	USP19	1318	145651
O94973	AP2A2_HUMAN	AP2A2	AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9) (HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit)	AP2A2	939	103960
O94979	SC31A_HUMAN	SC31A	Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein)	SEC31A	1220	133015
O95155	UBE4B_HUMAN	UBE4B	Ubiquitin conjugation factor E4 B (EC 2.3.2.27) (Homozygously deleted in neuroblastoma 1) (RING-type E3 ubiquitin transferase E4 B) (Ubiquitin fusion degradation protein 2)	UBE4B	1302	146185
O95166	GBRAP_HUMAN	GBRAP	Gamma-aminobutyric acid receptor-associated protein (GABA(A) receptor-associated protein) (MM46)	GABARAP	117	13918
O95197	RTN3_HUMAN	RTN3	Reticulon-3 (Homolog of ASY protein) (HAP) (Neuroendocrine-specific protein-like 2) (NSP-like protein 2) (Neuroendocrine-specific protein-like II) (NSP-like protein II) (NSPLII)	RTN3	1032	112611
O95236	APOL3_HUMAN	APOL3	Apolipoprotein L3 (Apolipoprotein L-III) (ApoL-III) (TNF-inducible protein CG12-1) (CG12_1)	APOL3	402	44278
O95260	ATE1_HUMAN	ATE1	Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1)	ATE1	518	59090
O95273	CCDB1_HUMAN	CCDB1	Cyclin-D1-binding protein 1 (Grap2 and cyclin-D-interacting protein) (Human homolog of Maid)	CCNDBP1	360	40262
O95292	VAPB_HUMAN	VAPB	Vesicle-associated membrane protein-associated protein B/C (VAMP-B/VAMP-C) (VAMP-associated protein B/C) (VAP-B/VAP-C)	VAPB	243	27228
O95336	6PGL_HUMAN	6PGL	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	PGLS	258	27547
O95347	SMC2_HUMAN	SMC2	Structural maintenance of chromosomes protein 2 (SMC protein 2) (SMC-2) (Chromosome-associated protein E) (hCAP-E) (XCAP-E homolog)	SMC2	1197	135656
O95352	ATG7_HUMAN	ATG7	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (hAGP7) (Ubiquitin-activating enzyme E1-like protein)	ATG7	703	77960
O95373	IPO7_HUMAN	IPO7	Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7)	IPO7	1038	119517
O95376	ARI2_HUMAN	ARI2	E3 ubiquitin-protein ligase ARIH2 (ARI-2) (Protein ariadne-2 homolog) (EC 2.3.2.31) (Triad1 protein)	ARIH2	493	57819
O95394	AGM1_HUMAN	AGM1	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3) (PGM 3)	PGM3	542	59852
O95433	AHSA1_HUMAN	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1) (p38)	AHSA1	338	38274
O95445	APOM_HUMAN	APOM	Apolipoprotein M (Apo-M) (ApoM) (Protein G3a)	APOM	188	21253
O95456	PSMG1_HUMAN	PSMG1	Proteasome assembly chaperone 1 (PAC-1) (Chromosome 21 leucine-rich protein) (C21-LRP) (Down syndrome critical region protein 2) (Proteasome chaperone homolog 1) (Pba1)	PSMG1	288	32854
O95573	ACSL3_HUMAN	ACSL3	Fatty acid CoA ligase Acsl3 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3) (Long-chain-fatty-acid--CoA ligase 3) (EC 6.2.1.3) (Medium-chain acyl-CoA ligase Acsl3) (EC 6.2.1.2)	ACSL3	720	80420
O95630	STABP_HUMAN	STABP	STAM-binding protein (EC 3.4.19.-) (Associated molecule with the SH3 domain of STAM) (Endosome-associated ubiquitin isopeptidase)	STAMBP	424	48077
O95747	OXSR1_HUMAN	OXSR1	Serine/threonine-protein kinase OSR1 (EC 2.7.11.1) (Oxidative stress-responsive 1 protein)	OXSR1	527	58022
O95777	LSM8_HUMAN	LSM8	U6 snRNA-associated Sm-like protein LSm8	LSM8	96	10403
O95782	AP2A1_HUMAN	AP2A1	AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit)	AP2A1	977	107546
O95786	RIGI_HUMAN	RIGI	Antiviral innate immune response receptor RIG-I (ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (RNA sensor RIG-I) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I)	RIGI	925	106600
O95810	CAVN2_HUMAN	CAVN2	Caveolae-associated protein 2 (Cavin-2) (PS-p68) (Phosphatidylserine-binding protein) (Serum deprivation-response protein)	CAVIN2	425	47173
O95816	BAG2_HUMAN	BAG2	BAG family molecular chaperone regulator 2 (BAG-2) (Bcl-2-associated athanogene 2)	BAG2	211	23772
O95825	QORL1_HUMAN	QORL1	Quinone oxidoreductase-like protein 1 (EC 1.-.-.-) (Ferry endosomal RAB5 effector complex subunit 4) (Fy-4) (Protein 4P11) (Quinone oxidoreductase homolog 1) (QOH-1) (Zeta-crystallin homolog)	CRYZL1	349	38697
O95834	EMAL2_HUMAN	EMAL2	Echinoderm microtubule-associated protein-like 2 (EMAP-2) (HuEMAP-2)	EML2	649	70679
O95861	BPNT1_HUMAN	BPNT1	"3'(2'),5'-bisphosphate nucleotidase 1 (EC 3.1.3.7) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase) (Bisphosphate 3'-nucleotidase 1) (BPntase 1) (HsPIP) (Inositol-polyphosphate 1-phosphatase) (EC 3.1.3.57)"	BPNT1	308	33392
O95865	DDAH2_HUMAN	DDAH2	"Putative hydrolase DDAH2 (EC 3.-.-.-) (DDAHII) (Inactive N(G),N(G)-dimethylarginine dimethylaminohydrolase 2) (DDAH-2) (Inactive dimethylarginine dimethylaminohydrolase 2) (Protein G6a) (S-phase protein)"	DDAH2	285	29644
O95989	NUDT3_HUMAN	NUDT3	Diphosphoinositol polyphosphate phosphohydrolase 1 (DIPP-1) (EC 3.6.1.52) (Diadenosine hexaphosphate hydrolase) (Ap6A hydrolase) (EC 3.6.1.61) (Endopolyphosphatase) (EC 3.6.1.10) (Nucleoside diphosphate-linked moiety X motif 3) (Nudix motif 3) (m7GpppN-mRNA hydrolase) (EC 3.6.1.62) (m7GpppX diphosphatase) (EC 3.6.1.59)	NUDT3	172	19471
P00167	CYB5_HUMAN	CYB5	Cytochrome b5 (Microsomal cytochrome b5 type A) (MCB5)	CYB5A	134	15330
P00338	LDHA_HUMAN	LDHA	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	LDHA	332	36689
P00352	AL1A1_HUMAN	AL1A1	"Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)"	ALDH1A1	501	54862
P00387	NB5R3_HUMAN	NB5R3	NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1)	CYB5R3	301	34235
P00390	GSHR_HUMAN	GSHR	"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)"	GSR	522	56257
P00441	SODC_HUMAN	SODC	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1) (hSod1)	SOD1	154	15936
P00450	CERU_HUMAN	CERU	Ceruloplasmin (Cuproxidase ceruloplasmin) (EC 1.16.3.4) (Ferroxidase ceruloplasmin) (EC 1.16.3.1) (Glutathione peroxidase ceruloplasmin) (EC 1.11.1.9) (Glutathione-dependent peroxiredoxin ceruloplasmin) (EC 1.11.1.27)	CP	1065	122219
P00488	F13A_HUMAN	F13A	Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain)	F13A1	732	83268
P00491	PNPH_HUMAN	PNPH	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	PNP	289	32118
P00492	HPRT_HUMAN	HPRT	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	HPRT1	218	24579
P00558	PGK1_HUMAN	PGK1	Phosphoglycerate kinase 1 (EC 2.7.11.1) (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	PGK1	417	44615
P00568	KAD1_HUMAN	KAD1	Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.4) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase)	AK1	194	21635
P00734	THRB_HUMAN	THRB	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2	622	70037
P00736	C1R_HUMAN	C1R	Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain]	C1R	705	80119
P00738	HPT_HUMAN	HPT	Haptoglobin (Zonulin) [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain]	HP	406	45205
P00739	HPTR_HUMAN	HPTR	Haptoglobin-related protein	HPR	348	39030
P00740	FA9_HUMAN	FA9	Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]	F9	461	51778
P00742	FA10_HUMAN	FA10	Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]	F10	488	54732
P00746	CFAD_HUMAN	CFAD	Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D)	CFD	253	27033
P00747	PLMN_HUMAN	PLMN	"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]"	PLG	810	90569
P00748	FA12_HUMAN	FA12	Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Beta-factor XIIa part 1; Coagulation factor XIIa light chain (Beta-factor XIIa part 2)]	F12	615	67792
P00751	CFAB_HUMAN	CFAB	Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment]	CFB	764	85533
P00813	ADA_HUMAN	ADA	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	ADA	363	40764
P00915	CAH1_HUMAN	CAH1	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase B) (CAB) (Carbonic anhydrase I) (CA-I) (Cyanamide hydratase CA1) (EC 4.2.1.69)	CA1	261	28870
P00918	CAH2_HUMAN	CAH2	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II) (Cyanamide hydratase CA2) (EC 4.2.1.69)	CA2	260	29246
P01008	ANT3_HUMAN	ANT3	Antithrombin-III (ATIII) (Serpin C1)	SERPINC1	464	52602
P01009	A1AT_HUMAN	A1AT	Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)]	SERPINA1	418	46737
P01011	AACT_HUMAN	AACT	Alpha-1-antichymotrypsin (ACT) (Cell growth-inhibiting gene 24/25 protein) (Serpin A3) [Cleaved into: Alpha-1-antichymotrypsin His-Pro-less]	SERPINA3	423	47651
P01019	ANGT_HUMAN	ANGT	Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4]	AGT	476	52070
P01023	A2MG_HUMAN	A2MG	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	A2M	1474	163291
P01024	CO3_HUMAN	CO3	Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	C3	1663	187148
P01031	CO5_HUMAN	CO5	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	C5	1676	188305
P01034	CYTC_HUMAN	CYTC	Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin)	CST3	146	15799
P01042	KNG1_HUMAN	KNG1	Kininogen-1 (Alpha-2-thiol proteinase inhibitor) (Fitzgerald factor) (High molecular weight kininogen) (HMWK) (Williams-Fitzgerald-Flaujeac factor) [Cleaved into: Kininogen-1 heavy chain; T-kinin (Ile-Ser-Bradykinin); Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain; Low molecular weight growth-promoting factor]	KNG1	644	71957
P01112	RASH_HUMAN	RASH	"GTPase HRas (EC 3.6.5.2) (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]"	HRAS	189	21298
P01116	RASK_HUMAN	RASK	"GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]"	KRAS	189	21656
P01591	IGJ_HUMAN	IGJ	Immunoglobulin J chain (Joining chain of multimeric IgA and IgM)	JCHAIN	159	18099
P01593	KVD33_HUMAN	KVD33	Immunoglobulin kappa variable 1D-33 (Ig kappa chain V-I region AG) (Ig kappa chain V-I region Bi) (Ig kappa chain V-I region Lay) (Ig kappa chain V-I region Ni) (Ig kappa chain V-I region Rei) (Ig kappa chain V-I region Roy) (Ig kappa chain V-I region Scw) (Ig kappa chain V-I region WAT)	IGKV1D-33	117	12848
P01597	KV139_HUMAN	KV139	Immunoglobulin kappa variable 1-39 (Ig kappa chain V-I region DEE) (Ig kappa chain V-I region Hau) (Ig kappa chain V-I region Mev) (Ig kappa chain V-I region OU) (Ig kappa chain V-I region Walker)	IGKV1-39	117	12737
P01599	KV117_HUMAN	KV117	Immunoglobulin kappa variable 1-17 (Ig kappa chain V-I region Gal) (Ig kappa chain V-I region WEA)	IGKV1-17	117	12779
P01601	KVD16_HUMAN	KVD16	Immunoglobulin kappa variable 1D-16 (Ig kappa chain V-I region HK146) (Ig kappa chain V-I region HK189)	IGKV1D-16	117	12730
P01602	KV105_HUMAN	KV105	Immunoglobulin kappa variable 1-5 (Ig kappa chain V-I region CAR) (Ig kappa chain V-I region EU) (Ig kappa chain V-I region HK102) (Ig kappa chain V-I region Kue)	IGKV1-5	117	12782
P01619	KV320_HUMAN	KV320	Immunoglobulin kappa variable 3-20 (Ig kappa chain V-III region B6) (Ig kappa chain V-III region GOL) (Ig kappa chain V-III region HAH) (Ig kappa chain V-III region HIC) (Ig kappa chain V-III region IARC/BL41) (Ig kappa chain V-III region NG9) (Ig kappa chain V-III region SIE) (Ig kappa chain V-III region Ti) (Ig kappa chain V-III region WOL)	IGKV3-20	116	12557
P01624	KV315_HUMAN	KV315	Immunoglobulin kappa variable 3-15 (Ig kappa chain V-III region CLL) (Ig kappa chain V-III region POM)	IGKV3-15	115	12496
P01700	LV147_HUMAN	LV147	Immunoglobulin lambda variable 1-47 (Ig lambda chain V-I region HA) (Ig lambda chain V-I region WAH)	IGLV1-47	117	12284
P01701	LV151_HUMAN	LV151	Immunoglobulin lambda variable 1-51 (Ig lambda chain V-I region BL2) (Ig lambda chain V-I region EPS) (Ig lambda chain V-I region NEW) (Ig lambda chain V-I region NIG-64)	IGLV1-51	117	12249
P01703	LV140_HUMAN	LV140	Immunoglobulin lambda variable 1-40 (Ig lambda chain V-I region NEWM)	IGLV1-40	118	12302
P01704	LV214_HUMAN	LV214	Immunoglobulin lambda variable 2-14 (Ig lambda chain V-II region NIG-84) (Ig lambda chain V-II region TOG) (Ig lambda chain V-II region VIL)	IGLV2-14	120	12597
P01705	LV223_HUMAN	LV223	Immunoglobulin lambda variable 2-23 (Ig lambda chain V-II region NEI)	IGLV2-23	113	11893
P01706	LV211_HUMAN	LV211	Immunoglobulin lambda variable 2-11 (Ig gamma lambda chain V-II region DOT) (Ig lambda chain V-II region BOH) (Ig lambda chain V-II region BUR) (Ig lambda chain V-II region NIG-58) (Ig lambda chain V-II region TRO) (Ig lambda chain V-II region WIN)	IGLV2-11	119	12644
P01709	LV208_HUMAN	LV208	Immunoglobulin lambda variable 2-8 (Ig lambda chain V-II region BO) (Ig lambda chain V-II region MGC)	IGLV2-8	118	12382
P01714	LV319_HUMAN	LV319	Immunoglobulin lambda variable 3-19 (Ig lambda chain V-III region SH)	IGLV3-19	112	12042
P01718	LV327_HUMAN	LV327	Immunoglobulin lambda variable 3-27 (Ig lambda chain V-IV region Kern)	IGLV3-27	113	12165
P01721	LV657_HUMAN	LV657	Immunoglobulin lambda variable 6-57 (Ig lambda chain V-VI region AR) (Ig lambda chain V-VI region EB4) (Ig lambda chain V-VI region NIG-48) (Ig lambda chain V-VI region SUT) (Ig lambda chain V-VI region WLT)	IGLV6-57	117	12566
P01772	HV333_HUMAN	HV333	Immunoglobulin heavy variable 3-33 (Ig heavy chain V-III region HIL) (Ig heavy chain V-III region KOL)	IGHV3-33	117	13074
P01780	HV307_HUMAN	HV307	Immunoglobulin heavy variable 3-7 (Ig heavy chain V-III region GAL) (Ig heavy chain V-III region GAR) (Ig heavy chain V-III region JON)	IGHV3-7	117	12943
P01834	IGKC_HUMAN	IGKC	Immunoglobulin kappa constant (Ig kappa chain C region) (Ig kappa chain C region AG) (Ig kappa chain C region CUM) (Ig kappa chain C region EU) (Ig kappa chain C region OU) (Ig kappa chain C region ROY) (Ig kappa chain C region TI)	IGKC	107	11765
P01854	IGHE_HUMAN	IGHE	Immunoglobulin heavy constant epsilon (Ig epsilon chain C region) (Ig epsilon chain C region ND)	IGHE	546	59539
P01859	IGHG2_HUMAN	IGHG2	Immunoglobulin heavy constant gamma 2 (Ig gamma-2 chain C region) (Ig gamma-2 chain C region DOT) (Ig gamma-2 chain C region TIL) (Ig gamma-2 chain C region ZIE)	IGHG2	395	43806
P01860	IGHG3_HUMAN	IGHG3	Immunoglobulin heavy constant gamma 3 (HDC) (Heavy chain disease protein) (Ig gamma-3 chain C region)	IGHG3	446	49093
